time,seconds_elapsed,lux
1751121037893624600,0.40562451171875,0
1751121038053618400,0.565618408203125,0
1751121038213584400,0.72558447265625,26.030000686645508
1751121038373578800,0.885578857421875,22.31999969482422
1751121038533569300,1.0455693359375,2.3299999237060547
1751121038694182100,1.20618212890625,1.9700000286102295
1751121038853587700,1.365587646484375,0.25999999046325684
1751121039013587500,1.52558740234375,0.949999988079071
1751121039173570800,1.68557080078125,1.7100000381469727
1751121039333645300,1.845645263671875,0
1751121039493558300,2.005558349609375,0.07999999821186066
1751121039653838800,2.1658388671875,0
1751121039813632300,2.32563232421875,0
1751121039973567200,2.485567138671875,0
1751121040133590500,2.645590576171875,0
1751121040293572400,2.805572265625,0
1751121040453566700,2.965566650390625,0
1751121040613676000,3.125676025390625,0
1751121040773632300,3.28563232421875,0
1751121040933590500,3.445590576171875,0
1751121041093607400,3.605607421875,0
1751121041253582000,3.76558203125,0
1751121041413567500,3.9255673828125,0
1751121041573580000,4.085580078125,0
1751121041734174000,4.246174072265625,0
1751121041893567500,4.4055673828125,0
1751121042053576400,4.565576416015625,0
1751121042213579800,4.725579833984375,0
1751121042373590000,4.885590087890625,0
1751121042533574000,5.045573974609375,0
1751121042694127900,5.2061279296875,0
1751121042853594600,5.3655947265625,0
1751121043013552400,5.525552490234375,0
1751121043173631200,5.68563134765625,0
1751121043333609000,5.84560888671875,0
1751121043493609200,6.005609130859375,0
1751121043653675500,6.165675537109375,0
1751121043813635300,6.32563525390625,0
1751121043973590800,6.4855908203125,0
1751121044133603000,6.64560302734375,0
1751121044293576000,6.805575927734375,0
1751121044453582000,6.96558203125,0
1751121044613592800,7.1255927734375,0
1751121044773612500,7.285612548828125,0
1751121044933637400,7.445637451171875,0
1751121045093627000,7.605626953125,0
1751121045253598500,7.765598388671875,0
1751121045413576400,7.925576416015625,0
1751121045573564400,8.085564453125,0
1751121045734156800,8.24615673828125,0
1751121045893580800,8.405580810546875,0
1751121046053584000,8.565583984375,0
1751121046213568300,8.725568359375,0
1751121046373572000,8.885572021484375,0
1751121046533607000,9.04560693359375,0
1751121046693923800,9.205923828125,0
1751121046853622500,9.36562255859375,0
1751121047013576000,9.525575927734375,0
1751121047173590500,9.685590576171874,0
1751121047333574700,9.84557470703125,0
1751121047493575000,10.005574951171875,0
1751121047653562000,10.16556201171875,0
1751121047814158300,10.326158447265625,0
1751121047973614300,10.4856142578125,0
1751121048133593000,10.645593017578125,0
1751121048293664500,10.80566455078125,0
1751121048453648100,10.965648193359375,0
1751121048613569000,11.125569091796875,0
1751121048773846800,11.2858466796875,0
1751121048933614000,11.445614013671875,0
1751121049093598500,11.605598388671876,0
1751121049253593600,11.765593505859375,0
1751121049413579300,11.925579345703126,0
1751121049573570000,12.085570068359376,0
1751121049733994000,12.245993896484375,0
1751121049893632500,12.405632568359374,0
1751121050053597000,12.565596923828124,0
1751121050213610800,12.72561083984375,0
1751121050373563400,12.8855634765625,0
1751121050533607200,13.045607177734375,0
1751121050693586200,13.205586181640625,0
1751121050853799000,13.365798828125,0
1751121051013574000,13.525573974609374,0
1751121051173579800,13.685579833984375,0
1751121051333575400,13.845575439453125,0
1751121051493566700,14.005566650390625,0
1751121051653569300,14.1655693359375,0
1751121051814209500,14.32620947265625,0
1751121051973609700,14.485609619140625,0
1751121052133590800,14.6455908203125,0
1751121052293399300,14.8053994140625,0
1751121052453574100,14.96557421875,0
1751121052613594600,15.1255947265625,0
1751121052773981700,15.285981689453125,0
1751121052933632000,15.445632080078125,0
1751121053093590500,15.605590576171876,0
1751121053253580300,15.765580322265626,0
1751121053413576200,15.925576171875,0
1751121053573593900,16.08559375,0
1751121053733549300,16.24554931640625,0
1751121053893625000,16.405625,0
1751121054053614300,16.5656142578125,0
1751121054213618200,16.7256181640625,0
1751121054373617700,16.88561767578125,0
1751121054533590800,17.0455908203125,0
1751121054693574100,17.20557421875,0
1751121054854130000,17.3661298828125,0
1751121055013615900,17.525615966796874,0
1751121055173607000,17.68560693359375,0
1751121055333583400,17.845583251953126,0
1751121055493645600,18.0056455078125,0
1751121055653627400,18.16562744140625,0
1751121055814113000,18.326113037109376,0
1751121055973725200,18.48572509765625,0
1751121056133595400,18.645595458984374,0
1751121056293577700,18.80557763671875,0
1751121056453607000,18.96560693359375,0
1751121056613579300,19.125579345703127,0
1751121056773573600,19.28557373046875,0
1751121056934169300,19.44616943359375,0
1751121057093606000,19.60560595703125,0
1751121057253621500,19.76562158203125,0
1751121057413635300,19.92563525390625,0
1751121057573651700,20.085651611328124,0
1751121057733641500,20.245641357421874,0
1751121057894127600,20.406127685546874,0
1751121058053592300,20.56559228515625,0
1751121058213589500,20.725589599609375,0
1751121058373597000,20.885596923828125,0
1751121058533578200,21.045578125,0
1751121058693576000,21.205575927734376,0
1751121058854091000,21.366091064453126,0
1751121059013716500,21.525716552734377,0
1751121059173633500,21.685633544921874,0
1751121059333633300,21.84563330078125,0
1751121059493606000,22.00560595703125,0
1751121059653635300,22.16563525390625,0
1751121059813566000,22.32556591796875,0
1751121059974178800,22.4861787109375,0
1751121060133595000,22.645594970703126,0
1751121060293592600,22.805592529296874,0
1751121060453579000,22.9655791015625,0
1751121060613583000,23.1255830078125,0
1751121060773602300,23.285602294921876,0
1751121060933695000,23.445695068359374,0
1751121061093593300,23.60559326171875,0
1751121061253593600,23.765593505859375,0
1751121061413602000,23.92560205078125,0
1751121061573598700,24.0855986328125,0
