time,seconds_elapsed,type,isConnected,isInternetReachable,isWifiEnabled,isConnectionExpensive,ssid,bssid,strength,ipAddress,frequency,cellularGeneration,carrier
1751121223564000000,186.076,cellular,true,true,false,true,,,,,,4g,
1751121225565000000,188.077,cellular,true,true,false,true,,,,,,4g,
1751121227567000000,190.079,cellular,true,true,false,true,,,,,,4g,
1751121229566000000,192.0780002441406,cellular,true,true,false,true,,,,,,4g,
1751121231571000000,194.083,cellular,true,true,false,true,,,,,,4g,
1751121233572000000,196.084,cellular,true,true,false,true,,,,,,4g,
1751121235569000000,198.081,cellular,true,true,false,true,,,,,,4g,
1751121237570000000,200.08199975585939,cellular,true,true,false,true,,,,,,4g,
1751121239570000000,202.08199975585939,cellular,true,true,false,true,,,,,,4g,
1751121241572000000,204.084,cellular,true,true,false,true,,,,,,4g,
1751121243573000000,206.085,cellular,true,true,false,true,,,,,,4g,
1751121245572000000,208.084,cellular,true,true,false,true,,,,,,4g,
1751121247575000000,210.087,cellular,true,true,false,true,,,,,,4g,
1751121249574000000,212.08600024414062,cellular,true,true,false,true,,,,,,4g,
1751121251575000000,214.087,cellular,true,true,false,true,,,,,,4g,
1751121253584000000,216.096,cellular,true,true,false,true,,,,,,4g,
1751121255583000000,218.095,cellular,true,true,false,true,,,,,,4g,
1751121257605000000,220.117,cellular,true,true,false,true,,,,,,4g,
1751121259583000000,222.095,cellular,true,true,false,true,,,,,,4g,
1751121261583000000,224.095,cellular,true,true,false,true,,,,,,4g,
1751121263585000000,226.097,cellular,true,true,false,true,,,,,,4g,
1751121265586000000,228.09799975585938,cellular,true,true,false,true,,,,,,4g,
1751121267588000000,230.1,cellular,true,true,false,true,,,,,,4g,
1751121269587000000,232.099,cellular,true,true,false,true,,,,,,4g,
1751121271588000000,234.1,cellular,true,true,false,true,,,,,,4g,
1751121273587000000,236.099,cellular,true,true,false,true,,,,,,4g,
1751121275590000000,238.1020002441406,cellular,true,true,false,true,,,,,,4g,
1751121277590000000,240.1020002441406,cellular,true,true,false,true,,,,,,4g,
1751121279590000000,242.1020002441406,cellular,true,true,false,true,,,,,,4g,
1751121281588000000,244.1,cellular,true,true,false,true,,,,,,4g,
1751121283631000000,246.143,cellular,true,true,false,true,,,,,,4g,
