time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1751121040466529800,2.97852978515625,32.462318420410156,1.0927488803863525,1.0291752815246582,13.303000450134277,1.0517656803131104,320.6065673828125,579.7000122070312,73.7174976,19.983869
1751121041956147200,4.468147216796875,67.05453491210938,1.7681912183761597,1.0440714359283447,10.977999687194824,1.040851354598999,319.6461486816406,579.7000122070312,73.717488,19.9838815
1751121042955732500,5.467732421875,70.15873718261719,1.1936498880386353,1.0540673732757568,5.797999858856201,0.683541476726532,302.0071716308594,579.7000122070312,73.7175168,19.9838863
1751121043866481400,6.3784814453125,45,0.0860232561826706,1.063174843788147,5.584000110626221,0.6452226638793945,299.61114501953125,579.7000122070312,73.7175184,19.9838673
1751121044865582800,7.377582763671875,45,0.0860232561826706,1.073165774345398,5.315000057220459,0.627417802810669,292.6767883300781,579.7000122070312,73.7175096,19.9838529
1751121045865739500,8.377739501953124,45,0.0860232561826706,1.0831674337387085,5.156000137329102,0.5820814371109009,289.5854187011719,579.7000122070312,73.717508,19.9838485
1751121046268857900,8.78085791015625,6.070215225219727,0.24649135768413544,1.0831674337387085,5.002999782562256,0.2491818517446518,129.1815643310547,579.7000122070312,73.7174985,19.9838572
1751121046865690400,9.3776904296875,6.050424098968506,0.1839853972196579,1.0931669473648071,4.728000164031982,0.155352383852005,140.48599243164062,579.7000122070312,73.717493,19.9838602
1751121046910324700,9.42232470703125,6.050424098968506,0.1839853972196579,1.0931669473648071,4.521999835968018,0.15288157761096954,140.83192443847656,579.7000122070312,73.7174914,19.9838611
1751121047679636200,10.19163623046875,0,0.1388188600540161,1.0234369039535522,4.353000164031982,0.07042786478996277,0,579.5,73.7174874,19.9838626
1751121047865729500,10.3777294921875,0,0.12390799820423126,1.0334372520446777,3.9830000400543213,0.09254200011491776,0,579.5,73.7174882,19.9838623
1751121048866048300,11.37804833984375,0,0.09977278858423233,1.0434404611587524,3.5969998836517334,0.05618046969175339,0,579.5,73.7174895,19.9838616
1751121049865559600,12.3775595703125,0,0.11810891330242157,1.0534355640411377,3.437000036239624,0.09081611037254333,0,579.5,73.7174912,19.9838599
1751121050866147600,13.378147705078124,7.63628625869751,0.16275353729724884,1.063441514968872,3.236999988555908,0.16490119695663452,140.6847686767578,579.5,73.7174935,19.9838576
1751121051865822500,14.377822509765625,10.079490661621094,0.21416732668876648,1.0734381675720215,3.138000011444092,0.42988455295562744,146.52114868164062,579.5,73.7174972,19.9838529
1751121052691557400,15.203557373046875,9.79590892791748,0.22000212967395782,1.2324739694595337,3.2290000915527344,0.3167589604854584,150.75535583496094,579.5,73.7174993,19.9838505
1751121052866087200,15.378087158203124,6.861645698547363,0.24338647723197937,1.2424767017364502,3.502000093460083,0.9342576265335083,153.48406982421875,579.5,73.7175049,19.9838336
1751121053865587500,16.37758740234375,7.590916633605957,0.2141638696193695,1.252471685409546,3.7669999599456787,1.3338127136230469,155.28224182128906,579.5,73.7175099,19.9838205
1751121054865583600,17.37758349609375,4.023748397827148,0.3438989818096161,1.2624716758728027,4.354000091552734,1.7823922634124756,151.9114227294922,579.5,73.7175156,19.9838123
1751121055865748500,18.37774853515625,3.4255595207214355,0.40678641200065613,1.2724733352661133,4.193999767303467,2.0333423614501953,152.58135986328125,579.5,73.7175254,19.9838065
1751121056865689600,19.377689697265627,6.666619777679443,0.6909946799278259,1.2824727296829224,4.51200008392334,2.090791940689087,149.94894409179688,579.5,73.7175335,19.9837966
1751121057865604000,20.37760400390625,1.5,0.38069742918014526,1.2924718856811523,4.429999828338623,2.7924537658691406,153.45339965820312,579.5,73.7175523,19.9837634
1751121058865871600,21.37787158203125,3.8697307109832764,0.1915973424911499,1.3024744987487793,3.947000026702881,3.2739336490631104,156.94044494628906,579.5,73.7175705,19.9837265
1751121059865588500,22.37758837890625,4.190733909606934,0.17023712396621704,1.312471628189087,3.5,3.499572992324829,151.55250549316406,579.5,73.7175885,19.9836901
1751121060865985000,23.377985107421875,6.2799882888793945,0.20157931745052338,1.3224756717681885,3.4210000038146973,3.743431329727173,149.90635681152344,579.5,73.717611,19.9836539
1751121061865585400,24.37758544921875,81.39179229736328,0.19786450266838074,1.3324716091156006,3.566999912261963,3.2595272064208984,150.62652587890625,579.5,73.7173476,19.983926
1751121062865583900,25.377583984375,19.371944427490234,0.14852556586265564,1.3424715995788574,3.447999954223633,1.6385339498519897,273.2869873046875,579.5,73.7172316,19.9840314
1751121063865881300,26.37788134765625,3.3319625854492188,0.3471311032772064,1.352474570274353,3.696000099182129,4.30801248550415,308.4357604980469,579.5,73.7171642,19.9840897
1751121064866092800,27.3780927734375,5.775291442871094,0.6780117750167847,1.3624767065048218,3.8540000915527344,4.569902420043945,308.9010314941406,579.5,73.7171181,19.9841277
1751121065866247000,28.378246826171875,16.296524047851562,1.6172198057174683,1.3724782466888428,4.01200008392334,4.651918888092041,308.0633239746094,579.5,73.7170776,19.9841567
1751121066866352400,29.378352294921875,14.076388359069824,1.5202959775924683,1.3824793100357056,3.9100000858306885,4.733260154724121,304.6243591308594,579.5,73.7170359,19.9841807
1751121067866305300,30.37830517578125,19.208038330078125,1.8607794046401978,1.3924788236618042,3.7899999618530273,4.67365026473999,303.3307800292969,579.5,73.7169949,19.9842024
1751121068866163200,31.3781630859375,14.067098617553711,1.8183784484863281,1.4024773836135864,3.7899999618530273,5.067074775695801,306.8604736328125,579.5,73.7169457,19.9842318
1751121069865789700,32.377789794921874,11.712074279785156,1.1473883390426636,1.4124736785888672,3.7899999618530273,5.304066181182861,311.5318603515625,579.5,73.716905,19.9842649
1751121070866262800,33.3782626953125,7.932544231414795,0.8544003963470459,1.422478437423706,3.7899999618530273,5.703200817108154,317.3187561035156,579.5,73.716867,19.9843033
1751121071865679400,34.377679443359376,7.5519514083862305,0.8544003963470459,1.432472586631775,3.7899999618530273,6.1936869621276855,321.94744873046875,579.5,73.7168303,19.9843455
1751121072866024000,35.37802392578125,7.393618106842041,0.8490583300590515,1.4424760341644287,3.7899999618530273,6.328361511230469,321.999267578125,579.5,73.7167936,19.9843898
1751121073866471200,36.37847119140625,7.158048152923584,0.8490583300590515,1.7106540203094482,3.7899999618530273,6.5275797843933105,321.9998474121094,579.2999877929688,73.7167561,19.9844354
1751121074866120700,37.37812060546875,8.101747512817383,0.9349331259727478,1.720650553703308,3.7899999618530273,6.372257232666016,322.9853210449219,579.2999877929688,73.7167185,19.984481
1751121075866389500,38.378389404296875,7.215901851654053,0.8544003963470459,1.730653166770935,3.7899999618530273,6.488568305969238,322.9996337890625,579.2999877929688,73.7166815,19.9845266
1751121076866218200,39.37821826171875,7.258882522583008,0.8544003963470459,1.7406514883041382,3.7899999618530273,6.509734630584717,322.9999084472656,579.2999877929688,73.7166439,19.9845728
