time,seconds_elapsed,z,y,x
1.74852E+18,0.217248779,0.01343864,0.053601846,0.063833542
1.74852E+18,0.236056885,0.001221695,0.046271678,0.041843038
1.74852E+18,0.254864746,0.029320668,0.020616096,0.03939965
1.74852E+18,0.273672852,0.053754561,-0.057572354,0.022295926
1.74852E+18,0.292480957,0.028098974,-0.069789298,0.003970507
1.74852E+18,0.311289307,-0.018325418,0.008399149,-0.002137966
1.74852E+18,0.330097412,-0.018325418,0.03771982,-0.007024744
1.74852E+18,0.348905518,0.019547112,0.061542861,0.008246438
1.74852E+18,0.367713623,0.039094225,0.051769305,0.009468133
1.74852E+18,0.386521729,0.035429142,0.033443887,0.022906773
1.74852E+18,0.405329834,0.017103724,0.043217443,0.046118967
1.74852E+18,0.424137939,-0.003665084,0.032222193,0.055892523
1.74852E+18,0.442946289,-0.018325418,0.033443887,0.027793551
1.74852E+18,0.461754395,-0.001221695,0.076203197,-0.007635591
1.74852E+18,0.480562256,0.008551862,0.071316421,-0.003970507
1.74852E+18,0.499370361,0.002443389,-0.004428643,0.015576605
1.74852E+18,0.518178711,-0.018325418,-0.092390649,0.002137966
1.74852E+18,0.536986816,-0.028098974,0.007788302,-0.005192202
1.74852E+18,0.555794922,-0.002443389,0.088420138,-0.027182704
1.74852E+18,0.574603027,0.031764057,0.045660831,-0.062611841
1.74852E+18,0.593411377,0.036650836,-0.003206948,-0.060168456
1.74852E+18,0.612219238,0.002443389,-0.001985254,-0.018630842
1.74852E+18,0.631027344,-0.034207448,0.016340164,0.027793551
1.74852E+18,0.649835693,-0.007330167,0.038330667,0.058335911
1.74852E+18,0.668643799,0.045202699,0.031000499,0.058335911
1.74852E+18,0.687451904,0.050089475,0.026113721,0.046118967
1.74852E+18,0.706260254,0.025655584,0.027335415,0.032680329
1.74852E+18,0.725068115,0.019547112,0.011453386,-0.005192202
1.74852E+18,0.743876221,0.017103724,0.016340164,-0.057725064
1.74852E+18,0.76268457,0.02687728,0.033443887,-0.080937259
1.74852E+18,0.781492676,0.028098974,0.048104223,-0.038177952
1.74852E+18,0.800300781,0.006108473,0.021226943,0.040010497
1.74852E+18,0.819109131,-0.023212196,0.046882529,0.09743014
1.74852E+18,0.837917236,-0.02687728,0.059099473,0.092543356
1.74852E+18,0.856725098,-0.019547112,0.063986249,0.058335911
1.74852E+18,0.875533447,-0.003665084,0.059099473,0.026571855
1.74852E+18,0.894341553,0.009773556,0.021226943,-0.002748813
1.74852E+18,0.913149902,0.01343864,-0.004428643,-0.036956258
1.74852E+18,0.931958008,0.006108473,0.020005248,-0.040621344
1.74852E+18,0.950766113,-0.003665084,0.018783553,-0.013744064
1.74852E+18,0.969574219,0.001221695,0.01267508,0.009468133
1.74852E+18,0.988382324,0.008551862,0.022448637,0.021685077
1.74852E+18,1.007190674,0.029320668,-0.001985254,0.014354911
1.74852E+18,1.025998779,0.034207448,-0.008093726,-0.014965758
1.74852E+18,1.044807129,0.031764057,0.011453386,-0.035734564
1.74852E+18,1.063615234,0.012216945,-0.016645588,-0.018630842
1.74852E+18,1.082423584,-0.003665084,-0.050853033,0.014354911
1.74852E+18,1.101231445,0.007330167,-0.005650337,0.031458635
1.74852E+18,1.120039551,0.02687728,0.045660831,0.030236939
1.74852E+18,1.1388479,0.025655584,0.004123219,0.00335966
1.74852E+18,1.157656006,0.01099525,-0.015423893,-0.02351762
1.74852E+18,1.176464355,0.012216945,-0.003206948,-0.014965758
1.74852E+18,1.195272461,0.017103724,-0.008093726,0.020463383
1.74852E+18,1.214080811,0.003665084,0.010231691,0.040010497
1.74852E+18,1.232888672,-0.003665084,0.057877779,0.026571855
1.74852E+18,1.251697021,0.014660334,0.072538115,0.00335966
1.74852E+18,1.270505127,0.030542362,0.021226943,-0.005192202
1.74852E+18,1.289313477,0.0219905,-0.01175881,0.027793551
1.74852E+18,1.308121582,0.008551862,-0.042301174,0.051005747
1.74852E+18,1.326929932,0.0219905,-0.039857782,0.047340661
1.74852E+18,1.345738281,0.01099525,0.059099473,0.057114217
1.74852E+18,1.364546143,-0.007330167,0.115297422,0.058335911
1.74852E+18,1.383354492,0.006108473,0.050547611,0.037567105
1.74852E+18,1.402162598,0.02443389,-0.048409645,0.027793551
1.74852E+18,1.420970947,0.032985751,-0.059404895,-0.008857286
1.74852E+18,1.439779053,0.039094225,0.031000499,-0.149352148
1.74852E+18,1.458587402,0.046424393,0.099415392,-0.336424142
1.74852E+18,1.477395508,0.129499614,0.258235693,-0.474475622
1.74852E+18,1.496203613,0.603517115,0.541668832,-0.941162944
1.74852E+18,1.515011963,1.497797489,0.771347404,-1.84521687
1.74852E+18,1.533820068,2.221193314,0.463480353,-2.528144121
1.74852E+18,1.552628418,2.617022276,0.594201684,-2.759044409
1.74852E+18,1.571436523,2.862582922,1.15495944,-2.394979477
1.74852E+18,1.590244873,2.887016773,1.168398142,-1.5019207
1.74852E+18,1.609053223,2.658560038,0.926502585,-0.303438365
1.74852E+18,1.627861084,1.925543308,0.342532605,0.804791272
