time,seconds_elapsed,z,y,x
1.74852E+18,0.226652588,-0.277234077,0.091915607,-0.071109533
1.74852E+18,0.245460693,-0.274851799,0.054393291,-0.186808825
1.74852E+18,0.264269043,-0.237425804,0.113686562,-0.08343792
1.74852E+18,0.283077148,-0.21511364,0.189013004,0.168020487
1.74852E+18,0.30188501,-0.155447006,0.087913036,0.174681425
1.74852E+18,0.320693359,-0.014993668,0.06347084,-0.064043403
1.74852E+18,0.339501465,-0.08365345,-0.024967194,-0.177539825
1.74852E+18,0.35830957,-0.112730026,0.065098286,-0.084514856
1.74852E+18,0.377117676,-0.096172333,0.098786831,0.006847024
1.74852E+18,0.395925781,-0.171526909,0.091658115,0.05757308
1.74852E+18,0.414734131,-0.228245735,0.106089592,-0.021528602
1.74852E+18,0.433541992,-0.281791687,0.087275505,-0.034555316
1.74852E+18,0.452350098,-0.30221653,0.077722549,-0.054780364
1.74852E+18,0.471158203,-0.211557388,0.044795036,-0.077894211
1.74852E+18,0.489966553,-0.264995575,0.064837933,-0.107197642
1.74852E+18,0.508774658,-0.182768822,0.113160133,-0.018486142
1.74852E+18,0.527582764,-0.203731537,-0.024904251,0.046986222
1.74852E+18,0.546390869,-0.13345623,-0.000964165,-0.06442678
1.74852E+18,0.565198975,-0.172196388,0.027835369,-0.153505683
1.74852E+18,0.58400708,-0.168829918,-0.004961967,-0.045752287
1.74852E+18,0.60281543,-0.067744255,0.037586212,0.113746285
1.74852E+18,0.621623535,-0.014325142,0.0103302,0.07967031
1.74852E+18,0.640431641,-0.081178665,-0.028020382,-0.177547455
1.74852E+18,0.659239502,-0.194141388,-0.0334692,-0.212538838
1.74852E+18,0.678047852,-0.201310158,0.017668247,-0.013477564
1.74852E+18,0.696855957,-0.213864326,0.010281086,0.03178525
1.74852E+18,0.715664063,-0.215938568,0.052838326,-0.038455009
1.74852E+18,0.734472412,-0.245200157,0.046705246,0.023523092
1.74852E+18,0.753280518,-0.100394249,0.084925652,0.063322544
1.74852E+18,0.772088623,0.063685417,0.050122738,0.073659182
1.74852E+18,0.790896729,0.222895622,0.033130169,0.091691256
1.74852E+18,0.809704834,0.122344971,0.04596138,0.125318527
1.74852E+18,0.828512939,-0.057501793,0.103173256,0.010550976
1.74852E+18,0.847321289,-0.166800499,0.11169529,-0.039612889
1.74852E+18,0.866129395,-0.254479408,0.070404053,-0.090328693
1.74852E+18,0.884937744,-0.297419548,0.04203701,-0.160808206
1.74852E+18,0.90374585,-0.273643494,0.025001049,-0.05848527
1.74852E+18,0.922553711,-0.161331177,0.008487225,0.030622959
1.74852E+18,0.941362061,-0.055174828,0.012993813,-0.046501994
1.74852E+18,0.960170166,-0.050283432,0.012690544,-0.054475665
1.74852E+18,0.978978516,-0.126345634,-0.013068199,-0.151868939
1.74852E+18,0.997786621,-0.176775932,-0.018942833,-0.21466434
1.74852E+18,1.016594727,-0.244484901,0.00265789,-0.085151672
1.74852E+18,1.035402832,-0.186148643,0.042614937,0.026790261
1.74852E+18,1.054210938,-0.016670227,0.074980736,0.032658577
1.74852E+18,1.073019287,0.064834595,0.059177399,-0.035941362
1.74852E+18,1.091827393,0.049862862,-0.052641392,-0.069187403
1.74852E+18,1.110635742,-0.044048309,-0.035355568,-0.108687758
1.74852E+18,1.129443848,-0.108803749,0.083355904,-0.074080348
1.74852E+18,1.148252197,-0.123796463,0.069400787,0.046734333
1.74852E+18,1.167060059,-0.042969704,0.037709713,-0.032752275
1.74852E+18,1.185868408,0.011350632,0.000474453,-0.058396459
1.74852E+18,1.204676514,-0.011823654,0.014962673,0.039264202
1.74852E+18,1.223484863,-0.106601715,-0.027675629,-0.01988554
