time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1749987851420400400,0.125400390625,-0.736661970615387,-0.3375129997730255,0.18734000623226166,0.5552610158920288,-0.13983115553855896,-0.7828620076179504,1.7920002937316895
1749987851430414000,0.1354140625,-0.7396720051765442,-0.3351899981498718,0.18586499989032745,0.5531600117683411,-0.13492797315120697,-0.7774825096130371,1.8020156621932983
1749987851440427300,0.14542724609375,-0.7428810000419617,-0.3301439881324768,0.18465499579906464,0.5522990226745605,-0.12586671113967896,-0.7677038311958313,1.8121000528335571
1749987851450441000,0.15544091796875,-0.7458299994468689,-0.32398098707199097,0.184348002076149,0.552075982093811,-0.11408386379480362,-0.7571015954017639,1.8217525482177734
1749987851460454400,0.165454345703125,-0.7512419819831848,-0.309908002614975,0.18638500571250916,0.5521339774131775,-0.08400823175907135,-0.7361648082733154,1.8415625095367432
1749987851470467800,0.1754677734375,-0.7551230192184448,-0.2959110140800476,0.18755799531936646,0.5541170239448547,-0.059147514402866364,-0.7138605713844299,1.8534101247787476
1749987851480481300,0.185481201171875,-0.7537890076637268,-0.29238998889923096,0.1867610067129135,0.5580589771270752,-0.058916956186294556,-0.7065953016281128,1.8452814817428589
1749987851490495000,0.195494873046875,-0.7507380247116089,-0.2880389988422394,0.18737700581550598,0.5641930103302002,-0.057118240743875504,-0.6996071934700012,1.8318042755126953
1749987851500508400,0.20550830078125,-0.7493029832839966,-0.2752690017223358,0.1892559975385666,0.5717980265617371,-0.04011187329888344,-0.6802047491073608,1.8237223625183105
1749987851510521900,0.21552197265625,-0.7449039816856384,-0.2715680003166199,0.18932299315929413,0.5792440176010132,-0.041667390614748,-0.6737393140792847,1.805119514465332
1749987851520535600,0.22553564453125,-0.7411999702453613,-0.2694700062274933,0.18715499341487885,0.5856450200080872,-0.04862752556800842,-0.6670551896095276,1.7873514890670776
1749987851530549000,0.235549072265625,-0.7383049726486206,-0.26966598629951477,0.18233799934387207,0.5907089710235596,-0.06253506988286972,-0.6606228947639465,1.7705533504486084
1749987851540562400,0.2455625,-0.735846996307373,-0.2726759910583496,0.17465999722480774,0.5947009921073914,-0.08492330461740494,-0.6548452973365784,1.7533066272735596
1749987851550576000,0.255576171875,-0.733089029788971,-0.27796199917793274,0.16437900066375732,0.5985770225524902,-0.11541927605867386,-0.6489230990409851,1.7332710027694702
1749987851560589600,0.265589599609375,-0.7309449911117554,-0.28456199169158936,0.15185199677944183,0.6014009714126587,-0.15073096752166748,-0.6418099403381348,1.7144581079483032
1749987851570603000,0.27560302734375,-0.7312530279159546,-0.2906840145587921,0.13849100470542908,0.6013240218162537,-0.1834283471107483,-0.6331449151039124,1.7049438953399658
