time,seconds_elapsed,dBFS
1751119823578000000,-2.44140625e-7,-160
1751119823764000000,0.186,-207
1751119823874000000,0.295999755859375,-27
1751119823981000000,0.403,-72
1751119824091000000,0.513,-63
1751119824200000000,0.622,-51
1751119824317000000,0.739,-53
1751119824427000000,0.849,-58
1751119824535000000,0.957,-16
1751119824644000000,1.066,-67
1751119824752000000,1.174,-58
1751119948099000000,124.521,-46
1751119948240000000,124.662,-68
1751119948354000000,124.77599975585937,-65
1751119948482000000,124.90399975585937,-61
1751119948616000000,125.038,-64
1751119948724000000,125.146,-59
1751119948833000000,125.255,-60
1751119948942000000,125.36400024414063,-67
1751119949051000000,125.473,-64
1751119949160000000,125.582,-60
1751119949271000000,125.693,-57
1751119949381000000,125.803,-63
1751119949488000000,125.91,-67
1751119949600000000,126.022,-68
1751119949706000000,126.12799975585938,-68
1751119949814000000,126.23600024414063,-58
1751119949924000000,126.346,-55
1751119950033000000,126.455,-57
1751119950143000000,126.565,-49
1751119950252000000,126.674,-48
1751119950361000000,126.783,-52
1751119950470000000,126.89200024414062,-43
1751119950580000000,127.002,-50
1751119950689000000,127.111,-53
1751119950795000000,127.217,-64
1751119950907000000,127.329,-61
1751119951024000000,127.446,-44
1751119951143000000,127.565,-69
