time,seconds_elapsed,batteryLevel,batteryState,lowPowerMode
1751119824585000000,1.007,0.7200000286102295,unplugged,false
1751119825585000000,2.007,0.7200000286102295,unplugged,false
1751119826585000000,3.007,0.7200000286102295,unplugged,false
1751119827586000000,4.007999755859375,0.7200000286102295,unplugged,false
1751119828587000000,5.009,0.7200000286102295,unplugged,false
1751119829591000000,6.013,0.7200000286102295,unplugged,false
1751119830595000000,7.017,0.7200000286102295,unplugged,false
1751119831597000000,8.019,0.7200000286102295,unplugged,false
1751119832599000000,9.021,0.7200000286102295,unplugged,false
1751119833598000000,10.020000244140626,0.7200000286102295,unplugged,false
1751119834597000000,11.019,0.7200000286102295,unplugged,false
1751119835605000000,12.027,0.7200000286102295,unplugged,false
1751119836602000000,13.023999755859375,0.7200000286102295,unplugged,false
1751119837599000000,14.021,0.7200000286102295,unplugged,false
1751119838601000000,15.023,0.7200000286102295,unplugged,false
1751119839604000000,16.026,0.7200000286102295,unplugged,false
1751119840604000000,17.026,0.7200000286102295,unplugged,false
1751119841605000000,18.027,0.7200000286102295,unplugged,false
1751119842602000000,19.023999755859375,0.7200000286102295,unplugged,false
1751119843608000000,20.03,0.7200000286102295,unplugged,false
1751119844607000000,21.029,0.7200000286102295,unplugged,false
1751119845605000000,22.027,0.7200000286102295,unplugged,false
1751119846606000000,23.028000244140625,0.7200000286102295,unplugged,false
1751119847607000000,24.029,0.7200000286102295,unplugged,false
1751119848608000000,25.03,0.7200000286102295,unplugged,false
1751119849608000000,26.03,0.7200000286102295,unplugged,false
1751119850610000000,27.031999755859374,0.7200000286102295,unplugged,false
1751119851615000000,28.037,0.7200000286102295,unplugged,false
1751119852610000000,29.031999755859374,0.7200000286102295,unplugged,false
1751119853614000000,30.036000244140624,0.7200000286102295,unplugged,false
1751119854611000000,31.033,0.7200000286102295,unplugged,false
1751119855614000000,32.036000244140624,0.7200000286102295,unplugged,false
1751119856671000000,33.093,0.7200000286102295,unplugged,false
1751119857617000000,34.039,0.7200000286102295,unplugged,false
1751119858618000000,35.03999975585938,0.7200000286102295,unplugged,false
1751119859616000000,36.038,0.7200000286102295,unplugged,false
1751119860624000000,37.046,0.7200000286102295,unplugged,false
