time,seconds_elapsed,z,y,x
1747544188418017300,217.50001733398437,1.7510000467300415,9.506999969482422,-1.6440000534057617
1747544188427612000,217.50961181640625,1.5609999895095825,9.529000282287598,-1.7100000381469727
1747544188437205800,217.51920581054688,1.3480000495910645,9.543000221252441,-1.8109999895095825
1747544188446800600,217.52880053710936,1.125,9.550000190734863,-1.9190000295639038
1747544188456396300,217.53839624023436,0.9010000228881836,9.555999755859375,-2.009000062942505
1747544188465991000,217.54799096679687,0.6790000200271606,9.559000015258789,-2.078000068664551
1747544188475584800,217.55758471679687,0.4740000069141388,9.5600004196167,-2.13100004196167
1747544188485179600,217.5671796875,0.296999990940094,9.557000160217285,-2.1760001182556152
1747544188494775000,217.57677514648438,0.15000000596046448,9.550000190734863,-2.2190001010894775
1747544188504370000,217.58636987304686,0.03400000184774399,9.541999816894531,-2.259999990463257
1747544188513963800,217.5959638671875,-0.05700000002980232,9.534000396728516,-2.2920000553131104
1747544188523558400,217.60555834960937,-0.12700000405311584,9.529999732971191,-2.308000087738037
1747544188533153800,217.61515380859376,-0.17900000512599945,9.527999877929688,-2.309999942779541
1747544188542748700,217.62474877929688,-0.21299999952316284,9.529000282287598,-2.305999994277954
1747544188552342800,217.6343427734375,-0.23600000143051147,9.527999877929688,-2.305999994277954
1747544188561937200,217.64393725585938,-0.25999999046325684,9.52400016784668,-2.319999933242798
1747544188571532800,217.65353271484375,-0.29899999499320984,9.517000198364258,-2.3450000286102295
1747544188581127700,217.66312768554687,-0.3540000021457672,9.506999969482422,-2.377000093460083
1747544188590721500,217.67272143554686,-0.42100000381469727,9.496000289916992,-2.4119999408721924
1747544188600316200,217.68231616210937,-0.49799999594688416,9.482000350952148,-2.447999954223633
1747544188609911600,217.69191162109374,-0.5809999704360962,9.468999862670898,-2.4820001125335693
1747544188619506400,217.70150634765625,-0.6650000214576721,9.456000328063965,-2.507999897003174
1747544188629100500,217.7111005859375,-0.7480000257492065,9.446000099182129,-2.5250000953674316
1747544188638695000,217.72069482421875,-0.8270000219345093,9.437000274658203,-2.5320000648498535
1747544188648290600,217.73029052734375,-0.9020000100135803,9.430999755859375,-2.5280001163482666
1747544188657885200,217.73988525390624,-0.9729999899864197,9.428000450134277,-2.5160000324249268
1747544188667479300,217.74947924804687,-1.0460000038146973,9.423999786376953,-2.499000072479248
1747544188677074000,217.75907397460938,-1.121999979019165,9.420999526977539,-2.4790000915527344
1747544188686669300,217.76866943359374,-1.2050000429153442,9.414999961853027,-2.4630000591278076
1747544188696264200,217.77826416015625,-1.2929999828338623,9.404999732971191,-2.4560000896453857
1747544188705858000,217.78785815429688,-1.378000020980835,9.390999794006348,-2.4619998931884766
1747544188715452700,217.79745263671876,-1.4520000219345093,9.37600040435791,-2.4790000915527344
1747544188725048300,217.80704833984376,-1.503999948501587,9.361000061035156,-2.503000020980835
1747544188734643000,217.81664282226564,-1.524999976158142,9.35200023651123,-2.5260000228881836
1747544188744237000,217.82623706054687,-1.5069999694824219,9.35200023651123,-2.5360000133514404
1747544188753831700,217.83583178710938,-1.4459999799728394,9.364999771118164,-2.5209999084472656
1747544188763427000,217.8454270019531,-1.3309999704360962,9.397000312805176,-2.4649999141693115
1747544188773022000,217.85502197265626,-1.149999976158142,9.449999809265137,-2.3529999256134033
1747544188782615800,217.86461572265625,-0.8960000276565552,9.520000457763672,-2.171999931335449
1747544188792210400,217.87421044921874,-0.5809999704360962,9.597000122070312,-1.9270000457763672
1747544188801806000,217.88380615234374,-0.24699999392032623,9.663999557495117,-1.6430000066757202
1747544188811400700,217.8934006347656,0.02800000086426735,9.711999893188477,-1.3559999465942383
1747544188820994600,217.90299462890624,0.2280000001192093,9.743000030517578,-1.0850000381469727
1747544188830589400,217.91258935546875,0.3529999852180481,9.76200008392334,-0.8550000190734863
1747544188840185000,217.92218505859375,0.4189999997615814,9.77400016784668,-0.675000011920929
1747544188849779700,217.93177978515624,0.4350000023841858,9.779999732971191,-0.5609999895095825
1747544188859373800,217.94137377929687,0.4169999957084656,9.784000396728516,-0.5059999823570251
1747544188868968400,217.95096850585938,0.37400001287460327,9.78600025177002,-0.4970000088214874
1747544188878563800,217.96056372070314,0.3230000138282776,9.786999702453613,-0.5199999809265137
1747544188888158500,217.97015844726562,0.2709999978542328,9.786999702453613,-0.5419999957084656
1747544188897752600,217.97975268554688,0.2199999988079071,9.789999961853027,-0.5210000276565552
1747544188907347200,217.98934716796876,0.1770000010728836,9.795000076293945,-0.4269999861717224
1747544188916942800,217.99894287109376,0.13300000131130219,9.802000045776367,-0.2630000114440918
1747544188926537500,218.00853735351564,0.07000000029802322,9.805999755859375,-0.05400000140070915
1747544188936131600,218.01813159179687,-0.01600000075995922,9.805000305175781,0.15399999916553497
1747544188945726000,218.0277258300781,-0.12099999934434891,9.800000190734863,0.32199999690055847
1747544188955321600,218.0373215332031,-0.23399999737739563,9.793999671936035,0.4339999854564667
1747544188964916500,218.04691650390626,-0.3540000021457672,9.786999702453613,0.5
1747544188974510300,218.05651025390625,-0.47699999809265137,9.779000282287598,0.5419999957084656
1747544189012889000,218.09488916015624,-0.9369999766349792,9.743000030517578,0.6010000109672546
1747544189022484000,218.10448388671875,-1.0329999923706055,9.732999801635742,0.6079999804496765
1747544189032079600,218.11407958984375,-1.1109999418258667,9.723999977111816,0.6150000095367432
1747544189041674200,218.12367431640624,-1.1610000133514404,9.717000007629395,0.6240000128746033
1747544189051268000,218.13326806640626,-1.1360000371932983,9.720000267028809,0.628000020980835
1747544189060863000,218.14286303710938,-0.8980000019073486,9.746999740600586,0.5899999737739563
1747544189070458400,218.15245825195314,-0.41999998688697815,9.78600025177002,0.4740000069141388
1747544189080053000,218.16205297851562,0.07100000232458115,9.800999641418457,0.3190000057220459
1747544189089647000,218.17164721679688,0.33000001311302185,9.798999786376953,0.16200000047683716
1747544189099241700,218.18124169921876,0.35199999809265137,9.800000190734863,0
1747544189108837000,218.19083715820312,0.22200000286102295,9.802000045776367,-0.1720000058412552
1747544189118432000,218.20043188476564,0.02500000037252903,9.800000190734863,-0.34299999475479126
1747544189128025900,218.21002587890624,-0.18700000643730164,9.789999961853027,-0.5230000019073486
1747544189137620500,218.2196203613281,-0.36899998784065247,9.774999618530273,-0.6840000152587891
1747544189147216100,218.2292160644531,-0.5080000162124634,9.756999969482422,-0.8330000042915344
1747544189156811000,218.23881103515626,-0.6019999980926514,9.741000175476074,-0.9589999914169312
1747544189166404900,218.24840478515625,-0.6579999923706055,9.72599983215332,-1.0640000104904175
