time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1751120021291251700,2.678251708984375,90.78042602539062,3.3819520473480225,1.1473125219345093,6.794000148773193,0.9507819414138794,268.59698486328125,576.5,73.7190759,19.9855287
1751120021867109400,3.254109375,103.92304992675781,3.633235454559326,1.1530710458755493,7.861999988555908,0.911830723285675,268.29010009765625,576.5,73.7190706,19.9855286
1751120022536470300,3.92347021484375,111.72650146484375,0.5072561502456665,1.031751036643982,12.508999824523926,1.0954616069793701,250.67214965820312,576.5,73.7190672,19.9855221
1751120022775715800,4.1627158203125,111.37793731689453,0.525171160697937,1.031751036643982,14.840999603271484,1.1700612306594849,241.2035675048828,576.5,73.7190681,19.9855159
1751120022867049500,4.254049560546875,107.57395935058594,0.39636993408203125,1.0417505502700806,14.321999549865723,0.7533755302429199,247.45913696289062,576.5,73.7190735,19.9855121
1751120023432972300,4.81997216796875,102.09771728515625,0.4459308087825775,1.0417505502700806,14.022000312805176,0.8418725728988647,257.4351501464844,576.5,73.7190741,19.9855083
1751120023866505500,5.25350537109375,92.55302429199219,0.2784225642681122,1.051745057106018,13.343999862670898,0.3879645764827728,268.87713623046875,576.5,73.7190741,19.9855061
1751120024139009500,5.526009521484375,90.1285400390625,0.2784225642681122,1.051745057106018,12.840999603271484,0.36849725246429443,272.2839660644531,576.5,73.7190749,19.9855052
1751120024516443600,5.903443603515625,84.60186004638672,0.3919467031955719,1.051745057106018,12.493000030517578,0.5157830715179443,268.3500061035156,576.5,73.7190753,19.9855051
1751120024867201500,6.254201416015625,63.189632415771484,0.3093903958797455,1.0617519617080688,12.060999870300293,0.48878005146980286,264.9551696777344,576.5,73.7190706,19.9855027
1751120025092671500,6.47967138671875,63.189632415771484,0.33116307854652405,1.0617519617080688,11.713000297546387,0.49469515681266785,264.0470275878906,576.5,73.7190682,19.9855013
1751120025590956000,6.9779560546875,58.00382995605469,0.428434282541275,1.0617519617080688,11.446000099182129,0.797542154788971,255.57127380371094,576.5,73.7190648,19.9854984
1751120025867384600,7.254384521484375,65.77709197998047,0.26505547761917114,1.0717538595199585,11.130000114440918,1.1124799251556396,256.2211608886719,576.5,73.7190594,19.9854895
1751120026295791600,7.68279150390625,44.947322845458984,0.22459039092063904,1.0717538595199585,11.175999641418457,1.3386369943618774,261.29486083984375,576.5,73.7190525,19.985483
1751120026634134500,8.021134521484376,45.90315246582031,0.22459039092063904,1.0717538595199585,10.92300033569336,1.3464486598968506,265.0034484863281,576.5,73.7190472,19.9854797
1751120026866481200,8.253481201171875,36.83977508544922,0.2279333770275116,1.0817447900772095,10.64900016784668,1.368717074394226,265.1101379394531,576.5,73.7190427,19.9854733
1751120027329533700,8.71653369140625,27.393007278442383,0.2061854898929596,1.0817447900772095,10.52400016784668,1.4294463396072388,265.2662658691406,576.5,73.7190347,19.9854685
1751120027718584600,9.10558447265625,29.867385864257812,0.2033693492412567,1.0280448198318481,9.539999961853027,1.4299219846725464,265.8203125,576.5,73.7190305,19.9854651
1751120027866945500,9.253945556640625,27.704198837280273,0.23603306710720062,1.0380494594573975,8.494999885559082,1.339192509651184,264.7957458496094,576.5,73.7190296,19.9854605
1751120028375124200,9.762124267578125,31.378320693969727,0.21321237087249756,1.0380494594573975,8.107000350952148,1.4362977743148804,263.26800537109375,576.5,73.719023,19.9854569
1751120028755839500,10.142839599609376,33.419864654541016,0.21321237087249756,1.0380494594573975,7.715000152587891,1.4407366514205933,263.16851806640625,576.5,73.7190177,19.9854548
1751120028866471400,10.253471435546874,33.92679977416992,0.1904519647359848,1.0480446815490723,7.624000072479248,1.412540078163147,263.0317687988281,576.5,73.7190169,19.9854526
1751120029469205200,10.856205322265625,32.10566711425781,0.220749169588089,1.0480446815490723,7.3470001220703125,1.4553120136260986,263.6926574707031,576.5,73.7190084,19.9854503
1751120029836486100,11.223486083984374,28.44109344482422,0.220749169588089,1.0480446815490723,7.176000118255615,1.456629753112793,264.5915222167969,576.5,73.7190033,19.9854491
1751120029867151400,11.2541513671875,32.81766891479492,0.19924534857273102,1.0580514669418335,7.156000137329102,1.4053425788879395,263.7715148925781,576.5,73.7190036,19.9854478
1751120030572391700,11.9593916015625,28.050411224365234,0.2214338630437851,1.0580514669418335,7.031000137329102,1.4258241653442383,265.4589538574219,576.5,73.7189934,19.9854459
1751120030867433200,12.25443310546875,28.051610946655273,0.19783391058444977,1.0680543184280396,6.919000148773193,1.3847976922988892,264.79638671875,576.5,73.71899,19.9854436
1751120030949837600,12.336837646484375,28.006349563598633,0.19783391058444977,1.0680543184280396,6.947999954223633,1.3837358951568604,264.9696960449219,576.5,73.7189891,19.9854426
1751120031675054300,13.062054443359376,27.767452239990234,0.21648027002811432,1.0680543184280396,6.931000232696533,1.4072867631912231,264.96551513671875,576.5,73.7189781,19.985441
1751120031867322600,13.254322509765625,27.556194305419922,0.19388067722320557,1.0780532360076904,6.979000091552734,1.3869041204452515,261.7803649902344,576.5,73.7189756,19.9854387
1751120032034867500,13.421867431640624,28.229337692260742,0.19388067722320557,1.0780532360076904,7.02400016784668,1.3878281116485596,260.7882995605469,576.5,73.7189734,19.9854374
1751120032172705000,13.559705078125,26.25251579284668,0.14738617837429047,1.100754976272583,7.057000160217285,1.4034963846206665,259.77081298828125,576.5,73.7189693,19.9854352
1751120032751247000,14.1382470703125,25.090377807617188,0.18786782026290894,1.100754976272583,7.125999927520752,1.4005448818206787,258.3027038574219,576.5,73.7189559,19.9854329
1751120032866819800,14.25381982421875,24.53263282775879,0.19960296154022217,1.1107499599456787,7.138999938964844,1.4012049436569214,255.99981689453125,576.5,73.7189589,19.9854308
1751120033163597300,14.550597412109376,21.65925407409668,0.15319715440273285,1.1107499599456787,7.208000183105469,1.4145543575286865,254.99124145507812,576.5,73.7189561,19.9854292
1751120033855054800,15.242054931640626,22.02122688293457,0.215036541223526,1.1107499599456787,7.335999965667725,1.4108257293701172,252.0748291015625,576.5,73.7189475,19.9854264
1751120033867032600,15.254032470703125,15.97736644744873,0.19638651609420776,1.1207520961761475,7.36899995803833,1.4579861164093018,250.50131225585938,576.5,73.7189471,19.9854248
