time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1751120018902916600,0.28991650390625,0.7440629005432129,0.17309412360191345,-0.009162388741970062,0.6452327370643616,0.24700991809368134,-0.2483058124780655,-1.6818504333496094
1751120018922804700,0.3098046875,0.7590781450271606,0.095304474234581,0.04892042279243469,0.642125129699707,0.04921671748161316,-0.2090320885181427,-1.7321792840957642
1751120018942692600,0.329692626953125,0.7563708424568176,0.08856622874736786,0.055870212614536285,0.645693302154541,0.030516017228364944,-0.2076161950826645,-1.7251499891281128
1751120018962584600,0.34958447265625,0.7501648664474487,0.07498233020305634,0.06715938448905945,0.6535398364067078,-0.002810284262523055,-0.20164459943771362,-1.7085294723510742
1751120018982474800,0.369474853515625,0.7454286217689514,0.060072869062423706,0.07707475125789642,0.6593822240829468,-0.03636426106095314,-0.1923881322145462,-1.6966532468795776
1751120018992419600,0.379419677734375,0.7434877157211304,0.05359251797199249,0.08000810444355011,0.661643922328949,-0.04892075061798096,-0.18664631247520447,-1.6915571689605713
1751120019002364400,0.389364501953125,0.7423959970474243,0.04817879945039749,0.08105736970901489,0.6631142497062683,-0.05741621553897858,-0.18000660836696625,-1.6884396076202393
1751120019012309500,0.3993095703125,0.7428029775619507,0.04325598478317261,0.08017095923423767,0.6630931496620178,-0.06269661337137222,-0.17142128944396973,-1.6892054080963135
1751120019022254300,0.40925439453125,0.7447647452354431,0.0381920263171196,0.07739243656396866,0.6614896059036255,-0.0656357854604721,-0.15995797514915466,-1.6940488815307617
1751120019032199200,0.41919921875,0.748383641242981,0.032611750066280365,0.07257157564163208,0.6583449244499207,-0.0664275586605072,-0.14487269520759583,-1.7032830715179443
1751120019042144000,0.42914404296875,0.7530300617218018,0.02627473697066307,0.06568218767642975,0.6540974974632263,-0.06510929018259048,-0.12582822144031525,-1.7151881456375122
1751120019052089000,0.439089111328125,0.7572905421257019,0.019094200804829597,0.05703311413526535,0.6502604484558105,-0.06191815808415413,-0.10327596962451935,-1.7257310152053833
1751120019062034000,0.449033935546875,0.7603800892829895,0.011255688965320587,0.04721809923648834,0.6476380825042725,-0.05743590369820595,-0.07835784554481506,-1.73281991481781
1751120019071978800,0.458978759765625,0.7625955939292908,0.0031920243054628372,0.036984264850616455,0.6457962989807129,-0.05238181725144386,-0.052661389112472534,-1.7376426458358765
1751120019081923600,0.468923583984375,0.7640369534492493,-0.004328127019107342,0.026889149099588394,0.6445900201797485,-0.04670369625091553,-0.028054937720298767,-1.7406309843063354
