time,seconds_elapsed,z,y,x
1747795031481747500,0.10874755859375,-1.4288138151168823,-0.4948008358478546,0.8252789378166199
1747795031505520600,0.132520751953125,-1.4288138151168823,-0.4948008358478546,0.8252789378166199
1747795031521298400,0.14829833984375,-1.4288138151168823,-0.4948008358478546,0.8252789378166199
1747795031537106400,0.1641064453125,-1.4288138151168823,-0.4948008358478546,0.8252789378166199
1747795031552945200,0.179945068359375,-1.4288138151168823,-0.4948008358478546,0.8252789378166199
1747795031568783600,0.19578369140625,-1.4288138151168823,-0.4948008358478546,0.8252789378166199
1747795031584622300,0.211622314453125,-1.4288138151168823,-0.4948008358478546,0.8252789378166199
1747795031600461000,0.2274609375,-0.021380282938480377,-0.021991148591041565,0.016493361443281174
1747795031616269000,0.24326904296875,-0.02932153269648552,-0.03481931984424591,0.01466076634824276
1747795031632107800,0.259107666015625,-0.03420845419168472,-0.0403171069920063,0.02015855349600315
1747795031647976700,0.274976806640625,-0.04337143152952194,-0.0403171069920063,0.025045474991202354
1747795031663846000,0.290845947265625,-0.04642575979232788,-0.03787364438176155,0.025045474991202354
1747795031679654100,0.306654052734375,-0.04337143152952194,-0.0403171069920063,0.025656340643763542
1747795031695401200,0.322401123046875,-0.04153883829712868,-0.048258353024721146,0.02382374368607998
1747795031719204900,0.346204833984375,-0.03420845419168472,-0.05314527451992035,0.02076941914856434
1747795031742978000,0.36997802734375,-0.03481931984424591,-0.039095375686883926,0.02076941914856434
1747795031758755600,0.385755615234375,-0.039095375686883926,-0.028099801391363144,0.02076941914856434
1747795031774533000,0.401533203125,-0.039706241339445114,-0.018936822190880775,0.021380282938480377
1747795031790402300,0.41740234375,-0.036041051149368286,-0.02076941914856434,0.02015855349600315
1747795031806241000,0.433240966796875,-0.036041051149368286,-0.029932396486401558,0.02076941914856434
1747795031822110200,0.449110107421875,-0.0354301854968071,-0.036041051149368286,0.02382374368607998
1747795031837918200,0.464918212890625,-0.029932396486401558,-0.0354301854968071,0.022602014243602753
1747795031853726200,0.480726318359375,-0.016493361443281174,-0.02871066704392433,0.022602014243602753
1747795031869565000,0.49656494140625,-0.013439035043120384,-0.02321287989616394,0.018936822190880775
1747795031885434000,0.51243408203125,-0.014049900695681572,-0.02626720629632473,0.02015855349600315
1747795031901303300,0.52830322265625,-0.021380282938480377,-0.030543262138962746,0.018936822190880775
1747795031917111300,0.544111328125,-0.027488935738801956,-0.030543262138962746,0.015882495790719986
1747795031932950000,0.559949951171875,-0.02871066704392433,-0.025045474991202354,0.01466076634824276
1747795031948727600,0.5757275390625,-0.03176499158143997,-0.024434609338641167,0.01771509274840355
1747795031964566300,0.591566162109375,-0.03176499158143997,-0.02932153269648552,0.018325956538319588
1747795031980404700,0.60740478515625,-0.028099801391363144,-0.03298672288656235,0.021380282938480377
1747795031996243500,0.623243408203125,-0.022602014243602753,-0.03726277872920036,0.02076941914856434
1747795032012082000,0.63908203125,-0.019547687843441963,-0.042760565876960754,0.01466076634824276
1747795032035885800,0.6628857421875,-0.022602014243602753,-0.039706241339445114,0.009773843921720982
1747795032059628300,0.686628173828125,-0.02321287989616394,-0.04581489413976669,0.01710422709584236
1747795032075467000,0.702467041015625,-0.024434609338641167,-0.04642575979232788,0.02626720629632473
