time,seconds_elapsed,z,y,x
1748138432576562200,0.394562255859375,-0.0096893310546875,0.0676727294921875,0.0684814453125
1748138432586602500,0.4046025390625,-0.004364013671875,0.1060333251953125,0.090850830078125
1748138432596642800,0.414642822265625,0.014801025390625,0.1166839599609375,0.1068267822265625
1748138432606683100,0.42468310546875,0.039306640625,0.096435546875,0.11322021484375
1748138432616723500,0.434723388671875,0.0542144775390625,0.0570220947265625,0.1089630126953125
1748138432626794200,0.444794189453125,0.049957275390625,0.00909423828125,0.08978271484375
1748138432636834600,0.45483447265625,0.0318450927734375,-0.0281982421875,0.0652923583984375
1748138432646875000,0.464875,0.0116119384765625,-0.0228729248046875,0.0514373779296875
1748138432656915200,0.474915283203125,-0.0022430419921875,0.0112152099609375,0.0525054931640625
1748138432666986000,0.484986083984375,-0.00543212890625,0.0421142578125,0.0567626953125
1748138432677026000,0.495026123046875,0.003082275390625,0.0538330078125,0.0620880126953125
1748138432687066400,0.50506640625,0.0201263427734375,0.049560546875,0.06634521484375
1748138432697137200,0.51513720703125,0.026519775390625,0.0346527099609375,0.0620880126953125
1748138432707177500,0.525177490234375,0.016937255859375,0.0133514404296875,0.04290771484375
1748138432717248300,0.535248291015625,-0.0001068115234375,0.0027008056640625,0.0141448974609375
1748138432727288600,0.54528857421875,-0.0150146484375,0.0005645751953125,-0.0146026611328125
1748138432737359400,0.555359375,-0.027801513671875,-0.005828857421875,-0.03485107421875
1748138432747430100,0.56543017578125,-0.0384521484375,-0.0218048095703125,-0.043365478515625
1748138432757470500,0.575470458984375,-0.0459136962890625,-0.036712646484375,-0.0401763916015625
1748138432767541200,0.585541259765625,-0.04058837890625,-0.0473785400390625,-0.0284576416015625
1748138432777612000,0.595612060546875,-0.0256805419921875,-0.048431396484375,-0.0135498046875
1748138432787652400,0.60565234375,-0.0096893310546875,-0.03033447265625,-0.0071563720703125
1748138432797723100,0.61572314453125,0.005218505859375,0.0037689208984375,-0.0018310546875
1748138432807794000,0.6257939453125,0.0201263427734375,0.05169677734375,0.0141448974609375
1748138432817864700,0.63586474609375,0.030792236328125,0.085784912109375,0.03546142578125
1748138432827905000,0.645905029296875,0.0361175537109375,0.074066162109375,0.055694580078125
